Time,Fraud Risk %,Risk Level
2026-06-02 11:27:37,16.0,TRUSTED
2026-06-02 11:33:11,16.0,TRUSTED
2026-06-02 11:34:09,16.0,TRUSTED
2026-06-02 11:35:53,16.0,TRUSTED
